date,document_type,eo_number,title,president,party,iso,country,China?
31.03.17,Executive Order,13786,Omnibus Report on Significant Trade Deficits,Donald J. Trump,Republican,CN,China,x
31.03.17,Executive Order,13787,Providing an Order of Succession Within the Department of Justice,Donald J. Trump,Republican,CN,China,
"2017-02-28,Executive Order,13778,""Restoring the Rule of Law, Federalism, and Economic Growth by Reviewing the """"""""""""""""Waters of the United States"""""""""""""""" Rule"",Donald J. Trump,Republican,CN,China,",,,,,,,,
24.02.17,Executive Order,13777,Enforcing the Regulatory Reform Agenda,Donald J. Trump,Republican,CN,China,
03.08.16,Executive Order,13734,Amending Executive Order 13675 To Expand Membership on the President's Advisory Council on Doing Business in Africa,Barack Obama,Democrat,CN,China,
22.07.16,Executive Order,13733,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Facilitation and Trade Enforcement Act of 2015,Barack Obama,Democrat,CN,China,
26.02.16,Executive Order,13720,Delegation of Certain Authorities and Assignment of Certain Functions under the Trade Preferences Extension Act of 2015,Barack Obama,Democrat,CN,China,
17.07.15,Executive Order,13701,Delegation of Certain Authorities and Assignment of Certain Functions Under the Bipartisan Congressional Trade Priorities and Accountability Act of 2015,Barack Obama,Democrat,CN,China,
21.05.12,Executive Order,13613,Providing an Order of Succession Within the Department of Commerce,Barack Obama,Democrat,CN,China,
19.01.12,Executive Order,13597,Establishing Visa and Foreign Visitor Processing Goals and the Task Force on Travel and Competitiveness,Barack Obama,Democrat,CN,China,x
11.03.10,Executive Order,13534,National Export Initiative,Barack Obama,Democrat,CN,China,x
01.07.09,Executive Order,13510,Waiver Under the Trade Act of 1974 With Respect to the Republic of Belarus,Barack Obama,Democrat,CN,China,
15.02.08,Executive Order,13461,Providing an Order of Succession Within the Department of Health and Human Services,George W. Bush,Republican,CN,China,
04.02.08,Executive Order,13458,Implementation of the Protocol Additional to the Agreement Between the United States and the International Atomic Energy Agency for the Application of Safeguards in the United States of America,George W. Bush,Republican,CN,China,
"2007-11-19,Executive Order,13451,""Designating the ITER International Fusion Energy Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities"",George W. Bush,Republican,CN,China,",,,,,,,,
12.09.07,Executive Order,13444,Extending Privileges and Immunities to the African Union Mission to the United States,George W. Bush,Republican,CN,China,
"2004-05-20,Executive Order,13341,""Further Amendment to Executive Order 11023, Providing for the Performance by the Secretary of Commerce of Certain Functions Relating to the National Oceanic and Atmospheric Administration"",George W. Bush,Republican,CN,China,",,,,,,,,
27.01.04,Executive Order,13326,Presidents Commission on Implementation of United States Space Exploration Policy,George W. Bush,Republican,CN,China,
19.11.02,Executive Order,13277,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Act of 2002,George W. Bush,Republican,CN,China,
17.08.01,Executive Order,13222,Continuation of Export Control Regulations,George W. Bush,Republican,CN,China,x
"2001-02-11,Executive Order,13200,""Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended"",George W. Bush,Republican,CN,China,",,,,,,,,
06.10.00,Executive Order,13169,Assistance to Small Business Exporters and Dislocated Workers,William J. Clinton,Democrat,CN,China,x
"1999-08-27,Executive Order,13135,""Amendment to Executive Order 12216, President's Committee on the International Labor Organization"",William J. Clinton,Democrat,CN,China,",,,,,,,,
"1999-03-31,Executive Order,13117,""Further Amendment to Executive Order 12981, as Amended"",William J. Clinton,Democrat,CN,China,",,,,,,,,
29.06.98,Executive Order,13091,Administration of Arms Export Controls and Foreign Assistance,William J. Clinton,Democrat,CN,China,
"1998-03-10,Executive Order,13077,""Further Amendment to Executive Order 13010, Critical Infrastructure Protection"",William J. Clinton,Democrat,CN,China,",,,,,,,,
"1997-04-03,Executive Order,13041,""Further Amendment to Executive Order 13010, as Amended"",William J. Clinton,Democrat,CN,China,",,,,,,,,
26.12.96,Executive Order,13032,Further Amendment to Executive Order No. 12964,William J. Clinton,Democrat,CN,China,
"1996-12-03,Executive Order,13029,""December 3, 1996"",William J. Clinton,Democrat,CN,China,",,,,,,,,
15.11.96,Executive Order,13026,Administration of Export Controls on Encryption Products,William J. Clinton,Democrat,CN,China,maybe
03.06.96,Executive Order,13008,Amending Executive Order No. 12880,William J. Clinton,Democrat,CN,China,
31.01.96,Executive Order,12987,Amendment to Executive Order 12964,William J. Clinton,Democrat,CN,China,
09.03.95,Executive Order,12955,Nuclear Cooperation With EURATOM,William J. Clinton,Democrat,CN,China,
14.11.94,Executive Order,12938,Proliferation of Weapons of Mass Destruction,William J. Clinton,Democrat,CN,China,x
19.08.94,Executive Order,12924,Continuation of Export Control Regulations,William J. Clinton,Democrat,CN,China,x
30.06.94,Executive Order,12923,Continuation of Export Control Regulations,William J. Clinton,Democrat,CN,China,x
25.04.94,Executive Order,12911,Seal for the Office of National Drug Control Policy,William J. Clinton,Democrat,CN,China,
14.04.94,Executive Order,12907,Amending Executive Order No. 12882,William J. Clinton,Democrat,CN,China,
09.03.94,Executive Order,12903,Nuclear Cooperation With EURATOM,William J. Clinton,Democrat,CN,China,
29.11.93,Executive Order,12883,Delegating a Federal Pay Administration Authority,William J. Clinton,Democrat,CN,China,
23.11.93,Executive Order,12882,President's Committee of Advisors on Science and Technology,William J. Clinton,Democrat,CN,China,
30.09.93,Executive Order,12870,Trade Promotion Coordinating Committee,William J. Clinton,Democrat,CN,China,
11.09.93,Executive Order,12861,Elimination of One-Half of Executive Branch Internal Regulations,William J. Clinton,Democrat,CN,China,
03.09.93,Executive Order,12860,Adding Members to the Committee on Foreign Investment in the United States,William J. Clinton,Democrat,CN,China,
16.08.93,Executive Order,12859,Establishment of the Domestic Policy Council,William J. Clinton,Democrat,CN,China,
04.08.93,Executive Order,12857,Budget Control,William J. Clinton,Democrat,CN,China,
"1993-06-11,Executive Order,12851,""Administration of Proliferation Sanctions, Middle East Arms Control, and Related Congressional Reporting Responsibilities"",William J. Clinton,Democrat,CN,China,x",,,,,,,,
28.05.93,Executive Order,12850,Conditions for Renewal of Most-Favored-Nation Status for the Peoples Republic of China in 1994,William J. Clinton,Democrat,CN,China,x
09.03.93,Executive Order,12840,Nuclear Cooperation With EURATOM,William J. Clinton,Democrat,CN,China,
05.11.92,Executive Order,12820,Facilitating Federal Employees' Participation in Community Service Activities,George Bush,Republican,CN,China,
09.03.92,Executive Order,12791,Nuclear Cooperation With Euratom,George Bush,Republican,CN,China,
10.02.92,Executive Order,12789,Delegation of Reporting Functions Under the Immigration Reform and Control Act of 1986,George Bush,Republican,CN,China,
26.09.91,Executive Order,12773,Amending Executive Order 10480,George Bush,Republican,CN,China,
02.05.91,Executive Order,12760,President's Commission on Executive Exchange,George Bush,Republican,CN,China,
08.03.91,Executive Order,12753,Nuclear Cooperation With EURATOM,George Bush,Republican,CN,China,
29.12.90,Executive Order,12740,Waiver Under the Trade Act of 1974 With Respect to the Soviet Union,George Bush,Republican,CN,China,
30.09.90,Executive Order,12730,Continuation of Export Control Regulations,George Bush,Republican,CN,China,x
24.05.90,Executive Order,12716,Extending the National Commission on Superconductivity,George Bush,Republican,CN,China,
11.04.90,Executive Order,12711,Policy Implementation With Respect to Nationals of the People's Republic of China,George Bush,Republican,CN,China,x
09.03.90,Executive Order,12706,Nuclear Cooperation with EURATOM,George Bush,Republican,CN,China,
23.12.89,Executive Order,12698,Adjustments of Certain Rates of Pay and Allowances,George Bush,Republican,CN,China,
22.12.89,Executive Order,12697,Extending the National Commission on Superconductivity,George Bush,Republican,CN,China,
07.07.89,Executive Order,12682,Commission on Alternative Utilization of Military Facilities,George Bush,Republican,CN,China,
09.03.89,Executive Order,12670,Nuclear Cooperation With EURATOM,George Bush,Republican,CN,China,
20.02.89,Executive Order,12669,Organization of Eastern Caribbean States,George Bush,Republican,CN,China,
"1989-01-12,Executive Order,12665,""Amending Executive Order No. 12658, President's Commission on Catastrophic Nuclear Accidents"",Ronald Reagan,Republican,CN,China,",,,,,,,,
11.08.88,Executive Order,12649,Offsets in Military-Related Exports,Ronald Reagan,Republican,CN,China,
"1988-07-12,Executive Order,12645,""Amending Executive Order 12364, Relating to the Presidential Management Intern Program"",Ronald Reagan,Republican,CN,China,",,,,,,,,
08.06.88,Executive Order,12642,Designation of the Secretary of Defense as the Presidential Designee Under Title I of the Uniformed and Overseas Citizens Absentee Voting Act,Ronald Reagan,Republican,CN,China,
23.03.88,Executive Order,12632,Exclusions From the Federal Labor- Management Relations Program,Ronald Reagan,Republican,CN,China,
09.03.88,Executive Order,12629,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
23.06.87,Executive Order,12599,Coordination of Economic Policies for Sub-Saharan Africa,Ronald Reagan,Republican,CN,China,
09.03.87,Executive Order,12587,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
20.11.86,Executive Order,12574,Establishing an Experimental Program Within the President's Commission on Executive Exchange,Ronald Reagan,Republican,CN,China,
10.03.86,Executive Order,12555,Protection of Cultural Property,Ronald Reagan,Republican,CN,China,
28.02.86,Executive Order,12554,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
14.01.86,Executive Order,12545,National Commission on Space,Ronald Reagan,Republican,CN,China,
07.08.85,Executive Order,12527,Repealing Provisions Establishing an Administrative Position in the Food-for-Peace Program,Ronald Reagan,Republican,CN,China,
27.06.85,Executive Order,12523,National White House Conference on Small Business,Ronald Reagan,Republican,CN,China,
24.06.85,Executive Order,12521,Offsets in Military-Related Exports,Ronald Reagan,Republican,CN,China,
03.06.85,Executive Order,12518,Trade in Services,Ronald Reagan,Republican,CN,China,
"1985-05-29,Executive Order,12517,""Delegation Concerning the United States- India Fund for Cultural, Educational, and Scientific Cooperation"",Ronald Reagan,Republican,CN,China,",,,,,,,,
22.03.85,Executive Order,12508,World Tourism Organization,Ronald Reagan,Republican,CN,China,
04.03.85,Executive Order,12506,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
28.01.85,Executive Order,12502,Chemical Warfare Review Commission,Ronald Reagan,Republican,CN,China,
30.03.84,Executive Order,12470,Continuation of Export Control Regulations,Ronald Reagan,Republican,CN,China,x
23.02.84,Executive Order,12463,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
14.10.83,Executive Order,12444,Continuation of Export Control Regulations,Ronald Reagan,Republican,CN,China,x
08.09.83,Executive Order,12440,President's Commission on Industrial Competitiveness,Ronald Reagan,Republican,CN,China,
05.04.83,Executive Order,12415,Extension of the Presidential Commission on Drunk Driving,Ronald Reagan,Republican,CN,China,
28.03.83,Executive Order,12410,Exclusions From the Federal Labor- Management Relations Program,Ronald Reagan,Republican,CN,China,
07.03.83,Executive Order,12409,Nuclear Cooperation with EURATOM,Ronald Reagan,Republican,CN,China,
14.10.82,Executive Order,12388,United States Information Agency,Ronald Reagan,Republican,CN,China,
24.06.82,Executive Order,12368,Drug Abuse Policy Functions,Ronald Reagan,Republican,CN,China,
08.02.82,Executive Order,12346,Synthetic Fuels,Ronald Reagan,Republican,CN,China,
14.10.81,Executive Order,12329,President's Task Force on Private Sector Initiatives,Ronald Reagan,Republican,CN,China,
12.03.81,Executive Order,12297,International Coffee Agreement 1976,Ronald Reagan,Republican,CN,China,
24.02.81,Executive Order,12295,Nuclear Cooperation With EURATOM,Ronald Reagan,Republican,CN,China,
30.09.80,Executive Order,12242,Synthetic Fuels,Jimmy Carter,Democrat,CN,China,
01.07.80,Executive Order,12224,Implementation of the International Sugar Agreement,Jimmy Carter,Democrat,CN,China,
19.06.80,Executive Order,12218,Export of Special Nuclear Material and Components to India,Jimmy Carter,Democrat,CN,China,
02.05.80,Executive Order,12214,Administration of the Export Administration Act of 1979,Jimmy Carter,Democrat,CN,China,
16.04.80,Executive Order,12210,Administration of Arms Export Controls,Jimmy Carter,Democrat,CN,China,
12.02.80,Executive Order,12193,Nuclear Cooperation With EURATOM,Jimmy Carter,Democrat,CN,China,
23.10.79,Executive Order,12167,United States-People's Republic of China Trade Relations,Jimmy Carter,Democrat,CN,China,x
04.04.79,Executive Order,12128,Employee-Management Relations in the Foreign Service,Jimmy Carter,Democrat,CN,China,
14.02.79,Executive Order,12119,Executive Schedule,Jimmy Carter,Democrat,CN,China,
02.01.79,Executive Order,12111,Executive Schedule,Jimmy Carter,Democrat,CN,China,
17.11.78,Executive Order,12101,Delegation of Functions to the Secretary of State,Jimmy Carter,Democrat,CN,China,
17.11.78,Executive Order,12102,Trade Committees,Jimmy Carter,Democrat,CN,China,
01.11.78,Executive Order,12091,Small Business Conference Commission,Jimmy Carter,Democrat,CN,China,
16.08.78,Executive Order,12074,Urban and Community Impact Analyses,Jimmy Carter,Democrat,CN,China,
27.04.78,Executive Order,12055,Export of Special Nuclear Material to India,Jimmy Carter,Democrat,CN,China,
07.04.78,Executive Order,12051,Waiver under the Trade Act of 1974 with respect to the Hungarian People's Republic,Jimmy Carter,Democrat,CN,China,
01.06.77,Executive Order,11994,United States Foreign Intelligence Activities,Jimmy Carter,Democrat,CN,China,
"1977-01-19,Executive Order,11963,""Delegating Reporting Functions Under the Agricultural Trade Development and Assistance Act of 1954, as Amended"",Gerald R. Ford,Republican,CN,China,",,,,,,,,
19.01.77,Executive Order,11961,Administration of the International Investment Survey Act of 1976,Gerald R. Ford,Republican,CN,China,
18.01.77,Executive Order,11958,Administration of Arms Export Controls,Gerald R. Ford,Republican,CN,China,
13.01.77,Executive Order,11956,Relating to Voluntary Agreements,Gerald R. Ford,Republican,CN,China,
25.10.76,Executive Order,11944,Authorizing Delegation of Authority to the Secretary of the Treasury With Respect to the Northern Mariana Islands,Gerald R. Ford,Republican,CN,China,
30.09.76,Executive Order,11940,Continuing the Regulation of Exports,Gerald R. Ford,Republican,CN,China,
01.06.76,Executive Order,11918,Compensation for Damages Involving Nuclear Reactors of United States Warships,Gerald R. Ford,Republican,CN,China,
"1976-05-28,Executive Order,11916,""Amending Executive Order No. 11649, Regulations Governing the Seals of the President and the Vice President of the United States"",Gerald R. Ford,Republican,CN,China,",,,,,,,,
26.04.76,Executive Order,11913,Collection of Information for Import Relief and Adjustment Assistance,Gerald R. Ford,Republican,CN,China,
13.04.76,Executive Order,11910,Delegating-Legal Services Functions Pursuant to the Disaster Relief Act of 1974,Gerald R. Ford,Republican,CN,China,
03.01.76,Executive Order,11894,Adding to the Membership of the East-West Foreign Trade Board,Gerald R. Ford,Republican,CN,China,
"1975-10-07,Executive Order,11884,""Prescribing the Official Coat of Arms, Seal, and Flag of the Vice President of the United States"",Gerald R. Ford,Republican,CN,China,",,,,,,,,
02.10.75,Executive Order,11880,Designation of Officers of the Department of Commerce to Act as Secretary of Commerce,Gerald R. Ford,Republican,CN,China,
17.09.75,Executive Order,11879,Delegating to the Secretary of Commerce Functions Relating to Orders for the Provision of Chemicals or Substances Necessary for Treatment of Water,Gerald R. Ford,Republican,CN,China,
25.07.75,Executive Order,11874,Delegation of Functions to the Director of the Office of Management and Budget,Gerald R. Ford,Republican,CN,China,
18.07.75,Executive Order,11871,Transferring the SCORE and ACE Programs from the ACTION Agency to the Small Business Administration,Gerald R. Ford,Republican,CN,China,
19.06.75,Executive Order,11867,Delegating to the Administrator of General Services Authority to Issue Joint Funding Regulations,Gerald R. Ford,Republican,CN,China,
11.06.75,Executive Order,11862,Amending Executive Order No. 11652 Relating to Classification and Declassification of National Security Information and Material,Gerald R. Ford,Republican,CN,China,
24.04.75,Executive Order,11854,Waiver Under the Trade Act of 1974 With Respect to the Socialist Republic of Romania,Gerald R. Ford,Republican,CN,China,
24.03.75,Executive Order,11845,Delegating Certain Reporting Functions to the Director of the Office of Management and Budget,Gerald R. Ford,Republican,CN,China,
"1974-11-05,Executive Order,11818,""Revoking Executive Order No. 11810 of September 30, 1974, and Continuing in Effect Executive Order No. 11533 of June 4, 1970, Relating to the Administration of Export Control"",Gerald R. Ford,Republican,CN,China,",,,,,,,,
30.09.74,Executive Order,11810,Continuing the Regulation of Exports,Gerald R. Ford,Republican,CN,China,
"1974-08-14,Executive Order,11798,""Revoking Executive Order No. 11796 of July 30, 1974, and Continuing in Effect Executive Order No. 11533 of June 4, 1970, Relating to the Administration of Export Controls"",Gerald R. Ford,Republican,CN,China,",,,,,,,,
30.07.74,Executive Order,11796,Continuing the Regulation of Exports,Richard Nixon,Republican,CN,China,
11.07.74,Executive Order,11795,Delegating Disaster Relief Functions Pursuant to the Disaster Relief Act of 1974,Richard Nixon,Republican,CN,China,
25.06.74,Executive Order,11789,President's Committee on East-West Trade Policy,Richard Nixon,Republican,CN,China,
18.06.74,Executive Order,11788,Providing for the Orderly Termination of Economic Stabilization Activities,Richard Nixon,Republican,CN,China,
30.05.74,Executive Order,11784,Delegating to the Administrator of General Services Certain Authority to Issue Regulations Relating to Joint Funding,Richard Nixon,Republican,CN,China,
"1974-03-26,Executive Order,11774,""Amending Executive Order No. 11768, Placing Certain Positions in Levels IV and V of the Executive Schedule"",Richard Nixon,Republican,CN,China,",,,,,,,,
"1974-03-18,Executive Order,11771,""Extending Diplomatic Privileges and Immunities to the Liaison Office of the People's Republic of China in Washington, DC and to Members Thereof"",Richard Nixon,Republican,CN,China,",,,,,,,,
"1974-01-15,Executive Order,11759,""Prescribing the Compensation of Certain Officials in the Domestic and International Business Administration, Department of Commerce"",Richard Nixon,Republican,CN,China,",,,,,,,,
30.07.73,Executive Order,11732,Delegating Certain Authority of the President to the Secretary of Housing and Urban Development,Richard Nixon,Republican,CN,China,
08.03.73,Executive Order,11706,Inspection of Returns by U.S. Attorneys and Attorneys of Department of Justice and Use of Returns in Grand Jury Proceedings and in Litigation,Richard Nixon,Republican,CN,China,
"1973-01-22,Executive Order,11699,""Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary"",Richard Nixon,Republican,CN,China,",,,,,,,,
"1972-08-29,Executive Order,11683,""Revoking Executive Order No. 11677 of August 1, 1972, and Continuing in Effect Executive Order No. 11533 of June 4, 1970, Relating to the Administration of Export Controls"",Richard Nixon,Republican,CN,China,",,,,,,,,
16.08.72,Executive Order,11678,Providing for the Repair and Restoration of Nonprofit Private Educational Institutions Damaged by Hurricane and Tropical Storm Agnes,Richard Nixon,Republican,CN,China,
01.08.72,Executive Order,11677,Continuing the Regulation of Exports,Richard Nixon,Republican,CN,China,
"1972-06-29,Executive Order,11674,""Amending Executive Order No. 11640, as Amended, Further Providing for the Stabilization of the Economy"",Richard Nixon,Republican,CN,China,",,,,,,,,
06.06.72,Executive Order,11673,Amending Executive Order No. 8684 to Redefine the Culebra Island Naval Defensive Sea Area,Richard Nixon,Republican,CN,China,
21.04.72,Executive Order,11668,Providing for a National Center for Housing Management,Richard Nixon,Republican,CN,China,
"1972-03-29,Executive Order,11662,""Further Providing for the Administration of the Disaster Relief Act of 1970, as Amended"",Richard Nixon,Republican,CN,China,",,,,,,,,
28.01.72,Executive Order,11641,Concentration of Law Enforcement Activities Relating to Drug Abuse,Richard Nixon,Republican,CN,China,
"1971-09-02,Executive Order,11617,""Amending Executive Order No. 11615, Providing for Stabilization of Prices, Rents, Wages, and Salaries"",Richard Nixon,Republican,CN,China,",,,,,,,,
29.06.71,Executive Order,11600,Establishing a Seal for the Office of Management and Budget,Richard Nixon,Republican,CN,China,
11.06.71,Executive Order,11597,Amendment to Executive Order No. 11513 Increasing the Membership of the President's Commission on School Finance,Richard Nixon,Republican,CN,China,
06.05.71,Executive Order,11592,Delegating Certain Authority of the President to the Director of the Office of Management and Budget,Richard Nixon,Republican,CN,China,
31.12.70,Executive Order,11575,Providing for the Administration of the Disaster Relief Act of 1970,Richard Nixon,Republican,CN,China,
23.09.70,Executive Order,11560,Amending Executive Order No. 11508 With Respect to the Membership of the Property Review Board,Richard Nixon,Republican,CN,China,
04.09.70,Executive Order,11556,Assigning Telecommunications Functions,Richard Nixon,Republican,CN,China,
"1970-07-02,Executive Order,11542,""Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule"",Richard Nixon,Republican,CN,China,",,,,,,,,
30.06.70,Executive Order,11539,Delegations of Authority to Negotiate Agreements and Issue Regulations Limiting Imports of Certain Meats,Richard Nixon,Republican,CN,China,
20.03.70,Executive Order,11518,Providing for the Increased Representation of the Interests of Small Business Concerns Before Departments and Agencies of the United States Government,Richard Nixon,Republican,CN,China,
"1970-02-16,Executive Order,11510,""Amending Executive Order No. 11248, Placing Certain Positions in Level IV and V of the Federal Executive Salary Schedule"",Richard Nixon,Republican,CN,China,",,,,,,,,
"1969-12-12,Executive Order,11500,""Amending Executive Order No. 11452, Establishing the Council for Urban Affairs"",Richard Nixon,Republican,CN,China,",,,,,,,,
"1969-12-11,Executive Order,11499,""Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule"",Richard Nixon,Republican,CN,China,",,,,,,,,
18.11.69,Executive Order,11495,Providing for the Administration of the Disaster Relief Act of 1969,Richard Nixon,Republican,CN,China,
"1969-10-27,Executive Order,11489,""Amending Executive Order No. 11248, Placing Certain Positions in Levels IV and V of the Federal Executive Salary Schedule"",Richard Nixon,Republican,CN,China,",,,,,,,,
23.05.69,Executive Order,11469,Extending the life of the National Commission on the Causes and Prevention of Violence,Richard Nixon,Republican,CN,China,
"1969-03-28,Executive Order,11462,""Providing for the Closing of Government Departments and Agencies on March 31, 1969, and For the Granting of Administrative Leave on March 28, 1969"",Richard Nixon,Republican,CN,China,",,,,,,,,
14.02.69,Executive Order,11456,Providing For a Special Assistant to the President for Liaison With Former Presidents,Richard Nixon,Republican,CN,China,
17.01.69,Executive Order,11449,Participation in the International Coffee Organization,Lyndon B. Johnson,Democrat,CN,China,
"1968-12-02,Executive Order,11437,""Suspending the Provisions of Section 5751(b) of Title 10 of the United States Code, Relating to Service-in-Grade Requirements for Promotion of Officers of the Navy and Marine Corps"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
"1968-09-09,Executive Order,11429,""Amending Executive Order No. 11302, Relating to Travel Expenses of Claimants and Beneficiaries of the Veteran's Administration and Their Attendants"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
31.08.68,Executive Order,11426,Federal-State Liaison and Cooperation,Lyndon B. Johnson,Democrat,CN,China,
15.08.68,Executive Order,11422,Cooperative Area Manpower Planning System,Lyndon B. Johnson,Democrat,CN,China,
27.07.68,Executive Order,11418,Extending the Life of the President's Advisory Council on Cost Reduction,Lyndon B. Johnson,Democrat,CN,China,
24.07.68,Executive Order,11417,Adding an Assistant Secretary of Commerce to the Membership of the Development Loan Committee,Lyndon B. Johnson,Democrat,CN,China,
"1968-05-13,Executive Order,11411,""Amending Executive Order No. 11394, Relating to the President's Commission for the Observance of Human Rights Year 1968"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
"1968-05-06,Executive Order,11410,""Amending Executive Order No. 11183, Establishing the President's Commission on White House Fellowships"",Lyndon B. Johnson,Democrat,CN,China,",,,,,,,,
07.02.68,Executive Order,11396,Providing for the Coordination by the Attorney General of Federal Law Enforcement and Crime Prevention Programs,Lyndon B. Johnson,Democrat,CN,China,
